experiment,LC,Sample,injection,analysis,method,PG_mean,PG_std,PG,PG_all,DPPP_MS1,DPPP_MS2,Precursors_mean,Precursors_std,Precursors,Precursors_all,"FWHM, s",folder,name,short_name,pep_ms1_cv,prot_ms1_cv,pep_ms2_cv,prot_ms2_cv,SPD
JB_HeLa250pg_240k_20Th_40ms_30SPD_MBR,44.7,HeLa,250pg,MBR,20Th_40ms_30SPD,5099.666666666667,10.263202878893768,"[5111, 5097, 5091]",5124,6.0,5.0,28424.666666666668,5.033222956847167,"[28424, 28420, 28430]",28746.0,3.6766666666666663,20240209_104216_JB_HeLa250pg_240k_20Th_40ms_30SPD_MBR,"HeLa_250pg
20Th_40ms_30SPD
MBR",250pg_MBR,10.05083946086884,6.62592935391551,20.420957266544697,13.088404726461281,30SPD
JB_HeLa250pg_240k_20Th_40ms_30SPD_noMBR,44.7,HeLa,250pg,noMBR,20Th_40ms_30SPD,4655.666666666667,147.99436926225718,"[4824, 4546, 4597]",5315,7.0,5.0,22871.0,352.5577966802039,"[23182, 22488, 22943]",29633.0,3.6533333333333338,20240209_103434_JB_HeLa250pg_240k_20Th_40ms_30SPD_noMBR,"HeLa_250pg
20Th_40ms_30SPD
noMBR",250pg_noMBR,10.265090842561388,12.02859320791317,25.19676672888007,20.789563602831905,30SPD
JB_HeLa250pg_240k_20Th_40ms_40SPD_MBR,32.8,HeLa,250pg,MBR,20Th_40ms_40SPD,5560.666666666667,10.96965511460289,"[5557, 5573, 5552]",5603,6.0,4.0,34850.666666666664,134.4222203853713,"[34704, 34968, 34880]",35591.0,3.27,20240209_104251_JB_HeLa250pg_240k_20Th_40ms_40SPD_MBR,"HeLa_250pg
20Th_40ms_40SPD
MBR",250pg_MBR,12.210595926748121,7.217216028652752,21.19922383438463,12.162716675276767,40SPD
JB_HeLa250pg_240k_20Th_40ms_40SPD_noMBR,32.8,HeLa,250pg,noMBR,20Th_40ms_40SPD,5091.333333333333,206.4323940987299,"[4853, 5214, 5207]",5757,6.0,4.0,28317.666666666668,1042.42042062372,"[27114, 28925, 28914]",36680.0,3.263333333333333,20240209_103517_JB_HeLa250pg_240k_20Th_40ms_40SPD_noMBR,"HeLa_250pg
20Th_40ms_40SPD
noMBR",250pg_noMBR,30.527886025032622,27.814950126937127,35.14325230411564,29.33930661320466,40SPD
JB_HeLa250pg_240k_20Th_40ms_50SPD_noMBR,24.8,HeLa,250pg,noMBR,20Th_40ms_50SPD,5343.333333333333,495.69782462033595,"[4804, 5779, 5447]",6126,5.0,4.0,32293.666666666668,2078.962561792139,"[30335, 34475, 32071]",41486.0,2.52,20240209_103639_JB_HeLa250pg_240k_20Th_40ms_50SPD_noMBR,"HeLa_250pg
20Th_40ms_50SPD
noMBR",250pg_noMBR,20.49244595030144,19.95435855748753,27.446127524698092,23.084110691010018,50SPD
JB_HeLa250pg_240k_20Th_40ms_50SPD_MBR,24.8,HeLa,250pg,MBR,20Th_40ms_50SPD,5989.333333333333,9.018499505645789,"[5980, 5998, 5990]",6017,5.0,4.0,40056.0,183.7688765814277,"[39970, 40267, 39931]",40786.0,2.5466666666666664,20240209_104330_JB_HeLa250pg_240k_20Th_40ms_50SPD_MBR,"HeLa_250pg
20Th_40ms_50SPD
MBR",250pg_MBR,11.633302126269447,6.838346278879448,20.356296929001143,11.985030682123242,50SPD
JB_HeLa250pg_240k_20Th_40ms_60SPD_MBR,20.9,HeLa,250pg,MBR,20Th_40ms_60SPD,5740.666666666667,11.930353445448855,"[5746, 5749, 5727]",5765,5.0,4.0,34888.333333333336,77.6745346515403,"[34825, 34975, 34865]",35332.0,2.5533333333333332,20240209_104418_JB_HeLa250pg_240k_20Th_40ms_60SPD_MBR,"HeLa_250pg
20Th_40ms_60SPD
MBR",250pg_MBR,9.201844450212914,5.803169325192345,19.16160583380763,12.244135139656164,60SPD
JB_HeLa250pg_240k_20Th_40ms_60SPD_noMBR,20.9,HeLa,250pg,noMBR,20Th_40ms_60SPD,5358.666666666667,193.70682314604545,"[5160, 5547, 5369]",6065,5.0,4.0,28441.333333333332,1715.1843438340186,"[26560, 29918, 28846]",36261.0,2.52,20240209_103759_JB_HeLa250pg_240k_20Th_40ms_60SPD_noMBR,"HeLa_250pg
20Th_40ms_60SPD
noMBR",250pg_noMBR,9.485224129996475,10.726216899278775,22.72439359224431,18.427051265000163,60SPD
JB_HeLa250pg_240k_20Th_40ms_80SPD_MBR,13.9,HeLa,250pg,MBR,20Th_40ms_80SPD,5102.0,10.535653752852738,"[5101, 5113, 5092]",5124,4.0,3.0,25125.333333333332,73.85345850624284,"[25203, 25117, 25056]",25672.0,2.223333333333333,20240209_104527_JB_HeLa250pg_240k_20Th_40ms_80SPD_MBR,"HeLa_250pg
20Th_40ms_80SPD
MBR",250pg_MBR,11.86952442550586,8.0144266368665,23.919994553304225,15.415060074413747,80SPD
JB_HeLa250pg_240k_20Th_40ms_80SPD_noMBR,13.9,HeLa,250pg,noMBR,20Th_40ms_80SPD,4591.333333333333,25.006665778014735,"[4580, 4620, 4574]",5286,4.0,3.0,19670.0,209.44450338932268,"[19429, 19773, 19808]",26417.0,2.203333333333333,20240209_104133_JB_HeLa250pg_240k_20Th_40ms_80SPD_noMBR,"HeLa_250pg
20Th_40ms_80SPD
noMBR",250pg_noMBR,13.84124529993414,15.115487861128617,26.157889495781404,22.230271774672293,80SPD
JB_HeLa250pg_240k_20Th_40ms_50SPD_L10ng,24.8,HeLa,250pg,L10ng,20Th_40ms_50SPD,7563.666666666667,53.46338310781813,"[7502, 7597, 7592]",7800,5.0,4.0,58331.666666666664,1655.7669924640163,"[56554, 59830, 58611]",67682.0,2.54,20240209_134309_JB_HeLa250pg_240k_20Th_40ms_50SPD_L10ng,"HeLa_250pg
20Th_40ms_50SPD
L10ng",250pg_L10ng,14.89452067963841,8.639458556743666,24.56387396114963,14.301328562225265,50SPD
JB_250pgHeLa_50SPD_SO_MBR,24.8,HeLa,250pg,MBR_OS,20Th_40ms_50SPD,5820.333333333333,33.02019584032374,"[5788, 5854, 5819]",6016,5.0,4.0,38106.0,360.2596286013741,"[37828, 38513, 37977]",40249.0,2.5466666666666664,20240722_131326_JB_250pgHeLa_50SPD_SO_MBR,"HeLa_250pg
20Th_40ms_50SPD
MBR_OS",250pg_MBR_OS,10.933794238061584,6.561599782860776,19.03926542029926,11.621536019924,50SPD
JB_250pgHeLa_libraryOS,24.8,HeLa,250pg,L10ng_OS,20Th_40ms_50SPD,6373.333333333333,121.32738080636759,"[6394, 6483, 6243]",7088,5.0,4.0,45985.0,1929.7287374136292,"[43762, 47229, 46964]",56226.0,2.54,20240723_104247_JB_250pgHeLa_libraryOS,"HeLa_250pg
20Th_40ms_50SPD
L10ng_OS",250pg_L10ng_OS,0.0,0.0,0.0,0.0,50SPD
JB_250pgK562_50SPD_MBR_OS,23.9,K562,250pg,MBR_OS,20Th_40ms_50SPD,5315.333333333333,14.011899704655802,"[5304, 5331, 5311]",5470,5.0,4.0,33524.333333333336,204.11353050038923,"[33759, 33426, 33388]",35161.0,2.566666666666667,20240912_092018_JB_250pgK562_50SPD_MBR_OS,"K562_250pg
20Th_40ms_50SPD
MBR_OS",250pg_MBR_OS,11.757801076958039,7.11297054174196,18.95524900702364,11.11089259666483,50SPD
JB_250pgK562_50SPD_L10ng_OS,23.9,K562,250pg,L10ng_OS,20Th_40ms_50SPD,5789.666666666667,232.8955416776657,"[5522, 5901, 5946]",6445,5.0,4.0,38649.666666666664,947.1986768008776,"[38461, 37811, 39677]",47877.0,2.5466666666666664,20240912_092609_JB_250pgK562_50SPD_L10ng_OS,"K562_250pg
20Th_40ms_50SPD
L10ng_OS",250pg_L10ng_OS,0.0,0.0,0.0,0.0,50SPD
MM_Astral_paper_K562_30SPD_noMBR,44.8,K562,250pg,noMBR,20Th_40ms_30SPD,5043.666666666667,378.92523449004204,"[5238, 4607, 5286]",5783,6.0,5.0,27958.0,4415.572329834492,"[30800, 22871, 30203]",37468.0,3.44,20240212_125153_MM_Astral_paper_K562_30SPD_noMBR,"K562_250pg
20Th_40ms_30SPD
noMBR",250pg_noMBR,18.3295029874574,17.677495318206798,33.86207268524823,29.63004936212577,30SPD
MM_Astral_paper_K562_40SPD_noMBR,32.8,K562,250pg,noMBR,20Th_40ms_40SPD,5024.0,52.421369688324624,"[5068, 4966, 5038]",5642,6.0,5.0,26895.666666666668,574.9107177060916,"[27214, 27241, 26232]",34326.0,3.216666666666667,20240212_125236_MM_Astral_paper_K562_40SPD_noMBR,"K562_250pg
20Th_40ms_40SPD
noMBR",250pg_noMBR,13.530870780608335,12.845017360134579,27.468096526435026,21.546714504631456,40SPD
MM_Astral_paper_K562_50SPD_noMBR,23.9,K562,250pg,noMBR,20Th_40ms_50SPD,5187.0,98.04590761474952,"[5159, 5106, 5296]",5792,5.0,4.0,28707.333333333332,351.8100813412449,"[28545, 28466, 29111]",36185.0,2.5166666666666666,20240212_125315_MM_Astral_paper_K562_50SPD_noMBR,"K562_250pg
20Th_40ms_50SPD
noMBR",250pg_noMBR,14.397217114064285,13.93041003050417,25.8633321846712,20.446698552058294,50SPD
MM_Astral_paper_K562_60SPD_noMBR,20.9,K562,250pg,noMBR,20Th_40ms_60SPD,5236.666666666667,35.92121007612819,"[5269, 5243, 5198]",5875,5.0,4.0,27363.0,688.4264666614729,"[28092, 27273, 26724]",34846.0,2.4600000000000004,20240212_125404_MM_Astral_paper_K562_60SPD_noMBR,"K562_250pg
20Th_40ms_60SPD
noMBR",250pg_noMBR,21.16464879446148,18.737052877454833,30.222006955427872,23.44443811802989,60SPD
MM_Astral_paper_K562_80SPD_noMBR,14.0,K562,250pg,noMBR,20Th_40ms_80SPD,4534.333333333333,80.4072965179985,"[4459, 4619, 4525]",5183,4.0,3.0,20237.333333333332,808.3380068593418,"[19372, 20973, 20367]",26757.0,2.1,20240212_125501_MM_Astral_paper_K562_80SPD_noMBR,"K562_250pg
20Th_40ms_80SPD
noMBR",250pg_noMBR,18.83474507974427,17.571119783453135,28.643709174114605,21.964101162808955,80SPD
MM_Astral_paper_K562_30SPD_MBR,44.8,K562,250pg,MBR,20Th_40ms_30SPD,5384.0,9.643650760992955,"[5388, 5373, 5391]",5406,6.0,5.0,35179.666666666664,105.8363516629959,"[35277, 35067, 35195]",35583.0,3.436666666666667,20240209_121859_MM_Astral_paper_K562_30SPD_MBR,"K562_250pg
20Th_40ms_30SPD
MBR",250pg_MBR,12.268426123500662,7.9160431138158405,20.708729069027235,12.732510914465948,30SPD
MM_Astral_paper_K562_40SPD_MBR,32.8,K562,250pg,MBR,20Th_40ms_40SPD,5358.666666666667,0.5773502691896257,"[5358, 5359, 5359]",5383,6.0,4.0,33028.666666666664,14.571661996262929,"[33017, 33024, 33045]",33484.0,3.2099999999999995,20240209_122242_MM_Astral_paper_K562_40SPD_MBR,"K562_250pg
20Th_40ms_40SPD
MBR",250pg_MBR,11.731592863882902,7.408725711054211,21.195472321316448,13.576925314128673,40SPD
MM_Astral_paper_K562_50SPD_MBR,23.9,K562,250pg,MBR,20Th_40ms_50SPD,5438.333333333333,12.897028081435403,"[5424, 5449, 5442]",5470,5.0,4.0,34806.666666666664,116.76614806241291,"[34936, 34775, 34709]",35344.0,2.566666666666667,20240209_122426_MM_Astral_paper_K562_50SPD_MBR,"K562_250pg
20Th_40ms_50SPD
MBR",250pg_MBR,12.37232709199901,7.505457216120488,19.817763794759752,11.537792614594402,50SPD
MM_Astral_paper_K562_60SPD_MBR,20.9,K562,250pg,MBR,20Th_40ms_60SPD,5517.666666666667,10.066445913694334,"[5527, 5507, 5519]",5554,5.0,4.0,33248.666666666664,113.56202416888021,"[33360, 33253, 33133]",33781.0,2.473333333333333,20240209_122504_MM_Astral_paper_K562_60SPD_MBR,"K562_250pg
20Th_40ms_60SPD
MBR",250pg_MBR,12.717589491182729,7.962556985714276,20.08131116243878,12.285122086435482,60SPD
MM_Astral_paper_K562_80SPD_MBR,14.0,K562,250pg,MBR,20Th_40ms_80SPD,4896.666666666667,8.144527815247079,"[4891, 4906, 4893]",4940,4.0,3.0,25428.333333333332,158.36771556517866,"[25302, 25606, 25377]",26122.0,2.13,20240209_122537_MM_Astral_paper_K562_80SPD_MBR,"K562_250pg
20Th_40ms_80SPD
MBR",250pg_MBR,13.429079297732738,8.825869200241836,23.329767291951995,14.81543854694455,80SPD
MM_Astral_paper_K562_50SPD_library_search,23.9,K562,250pg,L10ng,20Th_40ms_50SPD,6829.666666666667,12.662279942148386,"[6820, 6844, 6825]",7060,5.0,4.0,49390.0,296.08106997915286,"[49690, 49098, 49382]",58558.0,2.5466666666666664,20240209_163135_MM_Astral_paper_K562_50SPD_library_search,"K562_250pg
20Th_40ms_50SPD
L10ng",250pg_L10ng,15.712531830745908,9.467373284767651,24.017318653510518,14.431068307070237,50SPD
JB_HeLa10ng_240k_5Th_10ms_50SPD_MBR,,,,,,8142.666666666667,54.60362218347384,"[8189, 8066, 8173]",8428,,,66711.66666666667,1197.8673642028243,"[66991, 65125, 68019]",,,,,,,,,,
MM_Astral_paper_K562_10ng_50SPD,,,,,,7456.0,6.377042156569663,"[7452, 7465, 7451]",7841,,,62250.666666666664,813.2061375950271,"[61117, 62985, 62650]",,,,,,,,,,
